SNP,Chrom,Pos,log10P
1-21545431,1,21863251,9.917758645
1-21470550,1,21776482,9.813656269
1-23066684,1,23453920,9.633105095
1-21161473,1,21467486,9.632094287
1-21540889,1,21858710,9.474378114
1-21524270,1,21842097,9.468464783
1-22534809,1,22917062,9.355974538
1-22636910,1,23012963,9.046269486
1-23096680,1,23484423,8.845527606
1-21603379,1,21904274,8.514568166
1-21406012,1,21709908,8.384472267
1-21598747,1,21899696,8.31208366
1-22751964,1,23127244,8.175815542
1-23224727,1,23610393,8.165355162
1-21369527,1,21674878,8.120413756
1-21563089,1,21879767,7.879734387
1-21401703,1,21705600,7.846956337
1-22974357,1,23360219,7.724649998
1-22583176,1,22959431,7.565952847
1-21274922,1,21589090,7.103092703
1-23378850,1,23768488,7.093798326
1-22991748,1,23377601,7.068908452
1-22715750,1,23091083,6.958135465
1-22640278,1,23016331,6.866280725
1-21152420,1,21458433,6.462328824
1-21533453,1,21851279,6.395183962
1-21499325,1,21805256,5.983543182
1-21436109,1,21741028,5.895989033
1-21172946,1,21478958,5.894013583
1-22810129,1,23187584,5.713232112
1-21403068,1,21706964,5.49422609
1-21694741,1,21991857,5.450143096
1-21714795,1,22011911,5.368084217
1-22713889,1,23089222,5.336486752
1-23273113,1,23658823,5.129797796
1-23230131,1,23615797,5.047229739
1-22859536,1,23236989,5.043819285
